iter	RMSE
0	1.469875746
1	1.444676172
2	1.422222845
3	1.3993443
4	1.376868837
5	1.355066104
6	1.334644554
7	1.316304897
8	1.300590309
9	1.283101566
10	1.265932334
11	1.250473582
12	1.23707752
13	1.222788415
14	1.208836105
15	1.195126056
16	1.181193716
17	1.167606393
18	1.156453526
19	1.146884642
20	1.135701
21	1.125087817
22	1.114545635
23	1.105406832
24	1.096137202
25	1.087470103
26	1.079477599
27	1.070844721
28	1.062791532
29	1.054874076
30	1.047743522
31	1.041020643
32	1.035315069
33	1.027852624
34	1.021301883
35	1.015689
36	1.009560136
37	1.003938152
38	0.9987430427
39	0.9921887521
40	0.9860837638
41	0.9805483695
42	0.9758074246
43	0.9701234748
44	0.9650164112
45	0.9589495638
46	0.9541385738
47	0.950070067
48	0.9458260224
49	0.9415283007
50	0.9378873076
51	0.9342750711
52	0.9300169716
53	0.9259884821
54	0.9220801865
55	0.9177879991
56	0.9143538056
57	0.9104780733
58	0.9081880365
59	0.9044074261
60	0.901193728
61	0.8966426381
62	0.8942268817
63	0.8905031124
64	0.8878760938
65	0.8854070311
66	0.8828053464
67	0.8792634229
68	0.8766499876
69	0.8741337917
70	0.870336587
71	0.868394756
72	0.8665620105
73	0.8641300968
74	0.861914469
75	0.85911006
76	0.8578219418
77	0.8547194412
78	0.8520355356
79	0.8500738953
80	0.8468011512
81	0.8450886501
82	0.8419844171
83	0.8396900701
84	0.8382320752
85	0.8357682889
86	0.8342073781
87	0.8325558028
88	0.8305708249
89	0.8287418995
90	0.826969588
91	0.8254029881
92	0.8237335105
93	0.8217401638
94	0.819992427
95	0.8178980394
96	0.8149242919
97	0.8133519457
98	0.8123255428
99	0.8112440349
100	0.8101207307
101	0.8090239256
102	0.8074308601
103	0.8059893295
104	0.804880704
105	0.803017506
106	0.8017190723
107	0.799951579
108	0.7990343312
109	0.7971612609
110	0.795453362
111	0.7945107026
112	0.793333808
113	0.7912862327
114	0.7897639014
115	0.7887367723
116	0.7878434023
117	0.7873910223
118	0.7856200631
119	0.7843714872
120	0.7835470089
121	0.7826011934
122	0.7815055944
123	0.7800205133
124	0.7792449319
125	0.7786477946
126	0.7774364129
127	0.7762188931
128	0.7753253541
129	0.7735621381
130	0.7722270457
131	0.7704331131
132	0.7692652865
133	0.768371563
134	0.7674359442
135	0.7665649387
136	0.7654943701
137	0.763861924
138	0.763440543
139	0.7623253083
140	0.7615870925
141	0.7607080033
142	0.7589362377
143	0.7573303225
144	0.756338561
145	0.7558241851
146	0.755055133
147	0.7542999152
148	0.7536445164
149	0.7531489721
150	0.7526104783
151	0.75253477
152	0.7521517877
153	0.7510650971
154	0.7500774183
155	0.7492583017
156	0.7483380694
157	0.7479709915
158	0.7473169546
159	0.7464555968
160	0.7449780245
161	0.7444245134
162	0.7436374421
163	0.7429844001
164	0.7416958915
165	0.740792615
166	0.7399340192
167	0.739305822
168	0.7385393116
169	0.7377920774
170	0.7372769494
171	0.7368369184
172	0.7354232862
173	0.7341384909
174	0.7337591586
175	0.7330083031
176	0.7323623174
177	0.7311822252
178	0.7308192019
179	0.729180347
180	0.7288369472
181	0.7282041754
182	0.7269707324
183	0.7262220542
184	0.7255036346
185	0.7250075476
186	0.7243577101
187	0.7228681346
188	0.7218092511
189	0.7214770095
190	0.7207198583
191	0.7199272667
192	0.7187367319
193	0.7177673985
194	0.7165946021
195	0.7155488251
196	0.7151042914
197	0.7145775529
198	0.7138633203
199	0.7134078378
200	0.7129205555
201	0.7116335482
202	0.7104437881
203	0.7097822656
204	0.7087582315
205	0.7081929176
206	0.7073829884
207	0.7064818336
208	0.7059706682
209	0.7051520008
210	0.7046744512
211	0.7036874848
212	0.7027069909
213	0.7017862713
214	0.7012170815
215	0.7006267492
216	0.7001743934
217	0.6996794221
218	0.6990645486
219	0.6985605536
220	0.6981262763
221	0.6973027653
222	0.6968401865
223	0.6963672691
224	0.6953784927
225	0.694354343
226	0.6937817654
227	0.6932385152
228	0.6926669051
229	0.692371429
230	0.6920751276
231	0.6912973423
232	0.6909174327
233	0.689355367
234	0.6889398582
235	0.6886469146
236	0.6883384468
237	0.6879684299
238	0.6872544336
239	0.6869369455
240	0.6864474509
241	0.6852098342
242	0.6848751539
243	0.6844255462
244	0.683364998
245	0.6826714201
246	0.6822038903
247	0.6818960782
248	0.680487545
249	0.6801563958
250	0.6793400983
251	0.6791033394
252	0.6786584136
253	0.6772292548
254	0.6765673111
255	0.6763649041
256	0.6759460404
257	0.6750041849
258	0.6745311276
259	0.6730282166
260	0.6727210957
261	0.6714304425
262	0.6711964351
263	0.6704473114
264	0.6694011999
265	0.6679968318
266	0.6670230532
267	0.6667335691
268	0.6662773666
269	0.6650799357
270	0.6644079582
271	0.6639668863
272	0.6631906128
273	0.6630621258
274	0.6627844624
275	0.6612930388
276	0.6604587169
277	0.6600234145
278	0.6593980869
279	0.6583754547
280	0.6572255153
281	0.6563104451
282	0.6560821889
283	0.6556298245
284	0.6553819335
285	0.6544722306
286	0.6532258883
287	0.6530351452
288	0.6525242119
289	0.6518453641
290	0.651196627
291	0.650466436
292	0.6499145349
293	0.6488427482
294	0.6480343275
295	0.6478230207
296	0.6473059075
297	0.647052666
298	0.6462602947
299	0.6458869325
300	0.645320676
301	0.6442310249
302	0.6440099812
303	0.6435780135
304	0.6425523168
305	0.6424545936
306	0.6421741322
307	0.6412789669
308	0.6407324359
309	0.6400269927
310	0.6397653779
311	0.6392639411
312	0.6391427352
313	0.6379213685
314	0.6366011244
315	0.6362153433
316	0.6361086198
317	0.6350212443
318	0.6338159793
319	0.6329522544
320	0.632790949
321	0.6318377696
322	0.6316874837
323	0.631327545
324	0.6304952336
325	0.6303770169
326	0.6302855014
327	0.6297170286
328	0.6291063475
329	0.6288312448
330	0.6285329376
331	0.6283009135
332	0.6280803888
333	0.6275131028
334	0.6273906081
335	0.6266542888
336	0.6257924827
337	0.6256797996
338	0.6250055266
339	0.6245341063
340	0.623296764
341	0.6223241444
342	0.6221947405
343	0.6212174976
344	0.6205259748
345	0.6196340409
346	0.6187740752
347	0.6178849738
348	0.617731155
349	0.6175221358
350	0.6173184358
351	0.6164668794
352	0.61627046
353	0.6159772044
354	0.6150561964
355	0.6147307445
356	0.6140815598
357	0.6135903646
358	0.6130890849
359	0.6119842511
360	0.6111532767
361	0.6102820816
362	0.6095708559
363	0.6086385028
364	0.6085440615
365	0.6075538272
366	0.6075020278
367	0.6070065165
368	0.6063961636
369	0.6053872486
370	0.6048459169
371	0.604648771
372	0.6041366688
373	0.6032752523
374	0.6032031789
375	0.6027453499
376	0.6024076595
377	0.6019738021
378	0.601205778
379	0.6002632362
380	0.5996552854
381	0.5993622657
382	0.5988850861
383	0.5981144631
384	0.5977953001
385	0.5976637078
386	0.5974859856
387	0.5963374251
388	0.5954185059
389	0.5952089052
390	0.5947219734
391	0.5938404415
392	0.5937528435
393	0.5932517874
394	0.5926432207
395	0.5919593058
396	0.5914133697
397	0.5907876546
398	0.5906607177
399	0.5905310224
400	0.5900885961
401	0.5898141623
402	0.5889914584
403	0.5888064476
404	0.5882800732
405	0.5875499382
406	0.587278187
407	0.5867481897
408	0.5861233692
409	0.5856821474
410	0.5854574643
411	0.5842299565
412	0.5834891759
413	0.5827798118
414	0.5817361157
415	0.5806089582
416	0.5803838603
417	0.5797474917
418	0.5794601938
419	0.5788437484
420	0.5784105691
