,Model Name,R2_Score(Training),R2_Score_Testing,Depth,Iterations,Learning Rate
0,CatBoost Regressor Un-tuned,0.9473778411506419,0.8467619331164478,,,
1,CatBoost Regressor Tuned,0.2986136987766822,0.49214803735178503,1.0,1000.0,0.001
2,CatBoost Regressor Tuned,0.5395753922491715,0.7792133628889492,1.0,1000.0,0.005
3,CatBoost Regressor Tuned,0.5735097573383219,0.8107090157561909,1.0,1000.0,0.007
4,CatBoost Regressor Tuned,0.5969215874928175,0.8332766515031996,1.0,1000.0,0.01
5,CatBoost Regressor Tuned,0.6250332269561576,0.8455690774857028,1.0,1000.0,0.02
6,CatBoost Regressor Tuned,0.6371061242354357,0.8442983446594909,1.0,1000.0,0.03
7,CatBoost Regressor Tuned,0.645171409026142,0.844859043318435,1.0,1000.0,0.04
8,CatBoost Regressor Tuned,0.6509225166066224,0.8472635217041441,1.0,1000.0,0.05
9,CatBoost Regressor Tuned,0.6609364619379579,0.8453216836903351,1.0,1000.0,0.07
10,CatBoost Regressor Tuned,0.6721447325935218,0.8366718374772539,1.0,1000.0,0.1
11,CatBoost Regressor Tuned,0.3067160834216719,0.5042921281050368,1.0,1050.0,0.001
12,CatBoost Regressor Tuned,0.5449964844500322,0.7845499437512309,1.0,1050.0,0.005
13,CatBoost Regressor Tuned,0.5775894649111575,0.8154439157986197,1.0,1050.0,0.007
14,CatBoost Regressor Tuned,0.5990929963324388,0.8347442490039998,1.0,1050.0,0.01
15,CatBoost Regressor Tuned,0.626653934883351,0.8462371828225834,1.0,1050.0,0.02
16,CatBoost Regressor Tuned,0.6383925004656166,0.8446909550491282,1.0,1050.0,0.03
17,CatBoost Regressor Tuned,0.6465444036177592,0.8451906756616291,1.0,1050.0,0.04
18,CatBoost Regressor Tuned,0.6523241526620911,0.8477195905167363,1.0,1050.0,0.05
19,CatBoost Regressor Tuned,0.6624609609344934,0.8448173818243462,1.0,1050.0,0.07
20,CatBoost Regressor Tuned,0.6736687860153907,0.8363849116186006,1.0,1050.0,0.1
21,CatBoost Regressor Tuned,0.31420458208434987,0.5150895378189331,1.0,1100.0,0.001
22,CatBoost Regressor Tuned,0.5500332968169204,0.7888325149736906,1.0,1100.0,0.005
23,CatBoost Regressor Tuned,0.5811046618879849,0.818871240400919,1.0,1100.0,0.007
24,CatBoost Regressor Tuned,0.6014713972802999,0.8365562364343924,1.0,1100.0,0.01
25,CatBoost Regressor Tuned,0.6281390706977041,0.8464151076683454,1.0,1100.0,0.02
26,CatBoost Regressor Tuned,0.639627650797814,0.8446261769792986,1.0,1100.0,0.03
27,CatBoost Regressor Tuned,0.6477749120407101,0.8447769645521255,1.0,1100.0,0.04
28,CatBoost Regressor Tuned,0.65361999465007,0.847124028290023,1.0,1100.0,0.05
29,CatBoost Regressor Tuned,0.663942435161745,0.8438681216258053,1.0,1100.0,0.07
30,CatBoost Regressor Tuned,0.6751604932842812,0.8348451506763035,1.0,1100.0,0.1
31,CatBoost Regressor Tuned,0.32131490875153734,0.524787758288843,1.0,1150.0,0.001
32,CatBoost Regressor Tuned,0.5547443321592499,0.7931986154358,1.0,1150.0,0.005
33,CatBoost Regressor Tuned,0.5841044924036489,0.8215585552341491,1.0,1150.0,0.007
34,CatBoost Regressor Tuned,0.60375668215745,0.8378388656960638,1.0,1150.0,0.01
